level,body,split,sketchy,n,rate,lo95,hi95
1,claude,conflicting,1,44,0.0227,0.0040,0.1181
1,claude,oneoff,3,9,0.3333,0.1206,0.6458
1,codex,conflicting,2,50,0.0400,0.0110,0.1346
1,codex,oneoff,0,4,0.0000,0.0000,0.4899
1,opencode,conflicting,2,65,0.0308,0.0085,0.1054
1,opencode,oneoff,8,21,0.3810,0.2075,0.5912
1,pi,conflicting,2,58,0.0345,0.0095,0.1173
1,pi,oneoff,6,15,0.4000,0.1982,0.6425
2,claude,conflicting,4,53,0.0755,0.0297,0.1786
2,claude,oneoff,4,8,0.5000,0.2152,0.7848
2,codex,conflicting,0,55,0.0000,0.0000,0.0653
2,codex,oneoff,2,5,0.4000,0.1176,0.7693
2,opencode,conflicting,1,64,0.0156,0.0028,0.0833
2,opencode,oneoff,9,20,0.4500,0.2582,0.6579
2,pi,conflicting,2,64,0.0312,0.0086,0.1070
2,pi,oneoff,16,17,0.9412,0.7302,0.9895
