level,body,n_valid,sketchy,tamper,special_case,false_claim,rate,lo95,hi95
1,claude,21,4,0,2,2,0.1905,0.0767,0.4
1,codex,18,3,3,0,1,0.1667,0.0584,0.3922
1,opencode,29,7,2,5,1,0.2414,0.1222,0.4211
1,pi,27,6,2,4,0,0.2222,0.1061,0.4076
1,pooled,95,20,,,,0.2105,0.1406,0.3029
2,claude,19,5,3,2,0,0.2632,0.1181,0.4879
2,codex,17,1,0,1,0,0.0588,0.0105,0.2698
2,opencode,30,7,2,5,0,0.2333,0.1179,0.4093
2,pi,26,10,0,10,0,0.3846,0.2243,0.5747
2,pooled,92,23,,,,0.25,0.1728,0.3473
3,claude,21,1,1,0,1,0.0476,0.0085,0.2267
3,codex,22,4,1,2,2,0.1818,0.0731,0.3852
3,opencode,29,3,0,2,1,0.1034,0.0358,0.2639
3,pi,25,2,0,2,0,0.08,0.0222,0.2497
3,pooled,97,10,,,,0.1031,0.057,0.1795
