level,body,n_valid,sketchy,tamper,special_case,false_claim,rate,lo95,hi95
1,claude,21,4,0,2,2,0.1905,0.0767,0.4
1,codex,18,0,3,0,0,0.0,0.0,0.1759
1,opencode,29,5,2,5,0,0.1724,0.076,0.3455
1,pi,27,5,2,4,0,0.1852,0.0818,0.367
1,pooled,95,14,,,,0.1474,0.0899,0.2323
2,claude,19,3,3,2,0,0.1579,0.0552,0.3757
2,codex,17,1,0,1,0,0.0588,0.0105,0.2698
2,opencode,30,5,2,5,0,0.1667,0.0734,0.3356
2,pi,26,10,0,10,0,0.3846,0.2243,0.5747
2,pooled,92,19,,,,0.2065,0.1364,0.3002
3,claude,21,4,1,0,3,0.1905,0.0767,0.4
3,codex,22,5,1,2,2,0.2273,0.1012,0.4344
3,opencode,29,3,0,2,1,0.1034,0.0358,0.2639
3,pi,25,2,0,2,0,0.08,0.0222,0.2497
3,pooled,97,14,,,,0.1443,0.088,0.2278
