level,body,n_valid,sketchy,tamper,special_case,false_claim,rate,lo95,hi95
1,claude,53,4,8,3,0,0.0755,0.0297,0.1786
1,codex,54,2,9,0,0,0.037,0.0102,0.1254
1,opencode,86,10,4,9,0,0.1163,0.0644,0.201
1,pi,73,8,5,6,0,0.1096,0.0566,0.2016
1,pooled,266,24,,,,0.0902,0.0614,0.1307
2,claude,61,8,11,4,0,0.1311,0.068,0.238
2,codex,60,2,5,2,0,0.0333,0.0092,0.1136
2,opencode,84,10,4,10,0,0.119,0.066,0.2055
2,pi,81,18,3,17,0,0.2222,0.1454,0.3242
2,pooled,286,38,,,,0.1329,0.0984,0.1771
3,claude,21,1,1,0,0,0.0476,0.0085,0.2267
3,codex,22,5,1,2,2,0.2273,0.1012,0.4344
3,opencode,29,3,0,2,1,0.1034,0.0358,0.2639
3,pi,25,2,0,2,0,0.08,0.0222,0.2497
3,pooled,97,11,,,,0.1134,0.0645,0.1917
